Title,Company,Location,Cleaned_Salary,Time (days ago),Cleaned_Experience (Years)
.NET Developer,Sped@home,Mumbai,275000,7,1
Associate Software Developer,Design Centric,Navi Mumbai,359000,21,1
Associate Software Developer,Design Centric, Mumbai,359000,21,1
Founders Office,Curious About Sales,Nagpur,325000,3,0
3D Artist & VFX Artist,Connex India,Delhi,220000,5,1
3D Artist & VFX Artist,Connex India, Gurgaon,220000,5,1
3D Artist & VFX Artist,Connex India, Noida,220000,5,1
STEM Innovation Engineer/Mentor,Stemmantra Technologies Private Limited,Delhi,266750,14,0
STEM Innovation Engineer/Mentor,Stemmantra Technologies Private Limited, Gurgaon,266750,14,0
STEM Innovation Engineer/Mentor,Stemmantra Technologies Private Limited, Hyderabad,266750,14,0
IOS Developer,Quantta Analytics,Kolkata,300000,0,1
Junior Web Developer,Educase India,Hyderabad,300000,0,0
Assistant IT Support Engineer,Quantta Analytics,Kolkata,300000,1,1
App Test Engineer & Navigation Expert,Quantta Analytics,Kolkata,300000,1,1
Full Stack Developer,ONE XL INFO LLP,Pune,420000,1,1
React Developer,ONE XL INFO LLP,Pune,420000,1,1
PHP Developer,NexGen Innovators IT Services Private Limited,Delhi,480000,1,1
Senior Information Technology Engineer,AKSI AEROSPACE,Telangana,200000,7,1
Senior Information Technology Engineer,AKSI AEROSPACE, Andhra Pradesh,200000,7,1
React JS Developer,Infoware,Ahmedabad,375000,7,1
React JS Developer,Infoware, Gandhinagar,375000,7,1
.NET Developer,Quantasis Private Limited,Mumbai,235000,5,1
Junior Software Developer (Females Only),Makworth Finserv,Surat,415000,6,1
IOS Developer,AppVersal,Noida,350000,0,1
Junior Network Engineer,Weekday,Mumbai,360000,14,1
Trainee Engineer,Prolegion Pvt. Ltd.,Chennai,220000,1,1
PHP Developer,Reliable Solution,Surat,400000,1,1
Senior Front End Developer,Com.Bot,Surat,280000,1,1
Robotics STEM Trainer (For Schools),Qlearncept,Zaheerabad,280000,5,0
Robotics STEM Trainer (For Schools),Qlearncept, Hyderabad,280000,5,0
Robotics STEM Trainer (For Schools),Qlearncept, Achampet,280000,5,0
Full Stack Developer,Yasham Software Services Private Limited,Panna,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Raigarh,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Durg,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Balod,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Raipur,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Korba,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Bastar,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Jashpur,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Sukma,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Surguja,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Bijapur,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Surjanpur,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Atal Nagar,200000,21,0
Full Stack Developer,Yasham Software Services Private Limited, Seoni,200000,21,0
CCNA Faculty Trainer,Hinisys Software,Chennai,210000,21,1
Associate Professor,Coding Junior,Ahmedabad,450000,3,0
Full Stack Blockchain Trainer,QuadB Tech,Ludhiana,600000,2,1
Senior Flutter Developer,Cosmos Staffing Solutions,Hyderabad,220000,7,1
.NET Developer,Quantasis Private Limited,Mumbai,1255000,21,1
Technical Support Specialist,Shiva Systems & Technologies Private Limited,Mumbai,370000,14,1
Senior WordPress Developer,Innovate Content,Mumbai,250000,21,1
ASP.NET Core Full Stack Developer,Anjita IT Solutions Private Limited,Mumbai,242000,21,1
Computer Training & Data Science Faculty,DeveLearn Technologies,Mumbai,600000,4,1
PHP Developer,ONE XL INFO LLP,Pune,330000,14,1
Junior Backend Developer,Educase India,Hyderabad,300000,0,0
Junior Robotics Specialist,IBA - The Robotized World,Ahmedabad,200000,0,1
Junior Robotics Specialist,IBA - The Robotized World, Vadodara,200000,0,1
Junior Robotics Specialist,IBA - The Robotized World, Surat,200000,0,1
Junior .NET Developer,Creations Overseas,Secunderabad,280000,0,0
Junior .NET Developer,Creations Overseas, Hyderabad,280000,0,0
Android Developer,Frontlink Technology,Surat,200000,0,0
WordPress Developer,I-SmokeStack,Work from home,300000,0,1
Full Stack Developer,Ergosphere Solution Pvt Ltd.,Work from home,990000,0,1
Back-End Executive,Eviosys,Work from home,550000,1,0
Junior Front End Developer,TheCoinRepublic,Bhopal,300000,1,1
WordPress Developer,Hello Technologies,Madurai,325000,1,1
Integration Engineer,OneFin,Bangalore,400000,1,0
Full Stack Developer,Com.Bot,Surat,280000,1,1
Backend Developer,OneFin,Bangalore,600000,1,1
Software Developer,NERVESPARKS INDIA PVT LTD,Delhi,600000,1,0
Software Tester,FreJun Incorporation,Work from home,450000,1,1
Fresher-Salesforce Developer/Administrator,Softsensor.ai,Work from home,400000,1,0
Computer Operator Executive,Peerpoint,Work from home,550000,1,0
Full Stack Developer,EtherWorld,Work from home,600000,1,1
Full Stack Developer,IESoft Technologies Private Limited,Work from home,450000,1,0
PHP Developer,Pineapple By Ele,Mumbai,250000,1,1
IT Support,H&M Virtual Services Private Limited,Vadodara,270000,2,0
Front End Developer,Stirring Minds,Delhi,250000,2,1
Game Developer,ActiveLoc,Work from home,360000,2,1
Junior Software Developer,Spotmies LLP,Anakapalli,1600000,2,0
Software Developer,Finvin Estatedeal,Work from home,280000,2,1
Customer Support Executive,Yew Enterprises,Bahadurgarh,200000,2,0
Customer Support Executive,Yew Enterprises, Delhi,200000,2,0
Junior Python Developer,Crozair Technicea,Mumbai,450000,2,1
"Junior Fullstack Developer - Node.js, Flutter",Behind The Scene Apps,Thiruvananthapuram,250000,2,0
Backend Developer,Nexsphere,Work from home,275000,2,1
Design & Quality Engineer,Chandra Pumps Private Limited,Meerut,247500,3,0
Python Full Stack Trainer,Login360,Chennai,250000,3,1
Website & Backend Development Executive,ARMII,Work from home,300000,3,1
MERN Stack Developer,Sacesta Technologies,Ahmedabad,300000,3,1
Android App Developer,Anytimeinvest Services Private Limited,Delhi,450000,3,1
Junior System Administrator (Quality Assurance),YouWin Technologies,Work from home,210000,3,1
Senior Front End Developer,Creatiwise,Work from home,390000,3,1
"Developer – Python, AI & ML",Good Blogger,Noida,250000,3,1
Full Stack Developer,Know Thy Choice,Work from home,700000,3,1
Coding & AI Teacher,SR Edu Technologies,Hyderabad,270000,3,0
Coding & AI Teacher,SR Edu Technologies, Bhuvanagiri,270000,3,0
Mobile App Developer,Jina Code Systems LLP,Gurgaon,440000,3,1
Moodle LMS Developer,Offiql Technologies Private Limited,Bangalore,600000,3,1
Computer Operator Associate,Peerpoint,Work from home,550000,3,0
Digital Marketing Associate,Panache Solutions,Work from home,240000,3,1
System Engineer,Ether Daylight Systems Pvt. Ltd.,Bangalore,240000,4,0
Junior Software Developer,Axe Consultancy And Security Services LLC,Work from home,800000,4,0
Python Developer,Clump Coder,Work from home,200000,4,1
Full Stack Developer,Bentex Group,Work from home,450000,4,1
Full Stack Developer,Eleven Software Solution Private Limited,Hyderabad,200000,4,0
Web Developer,Benetor's,Work from home,235000,4,1
Robotics And Coding Teacher,Amazeheads LLP,Darjeeling,300000,4,0
Junior Content Writer,RecurPost Inc.,Surat,225000,4,0
Python Developer,Allied Infoline Private Limited,South,365000,4,0
Quality Analyst,Softcell Technologies Limited,Thane,200000,4,0
Quality Analyst,Softcell Technologies Limited, Navi Mumbai,200000,4,0
Quality Analyst,Softcell Technologies Limited, Kalyan,200000,4,0
Quality Analyst,Softcell Technologies Limited, Mumbai,200000,4,0
PHP Developer,WES Consultancy & Services Private Limited,Raipur,240000,4,1
Digital Marketing Executive,SMR Securities,Gurgaon,220000,4,1
Software Development (Instructor),NxtWave,Hyderabad,200000,4,1
Business Analyst,Solstice Veridian Services,Chandigarh,300000,4,1
Business Analyst,Solstice Veridian Services, Kharar,300000,4,1
Business Analyst,Solstice Veridian Services, Mohali,300000,4,1
Business Analyst,Solstice Veridian Services, Panchkula,300000,4,1
Back End Executive,Peerpoint,Work from home,550000,4,0
